id,対象装備,改修値,火力,雷装,対空,回避,対潜,対象艦(カテゴリ),対象艦(艦種),対象艦,備考
296,12.7cm連装砲B型改四(戦時改修)＋高射装置,0,1,,,,,,DD-04:DD-05,,綾波型、暁型
296,12.7cm連装砲B型改四(戦時改修)＋高射装置,0,3,1,,,,,,627,敷波改二
296,12.7cm連装砲B型改四(戦時改修)＋高射装置,0,1,,,1,,,DD-06,,初春型
296,12.7cm連装砲B型改四(戦時改修)＋高射装置,0,2,,,2,,,,497,白露改二
296,12.7cm連装砲B型改四(戦時改修)＋高射装置,0,2,,1,1,,,,145,時雨改二
296,12.7cm連装砲B型改四(戦時改修)＋高射装置,0,1,,1,2,,,,498,村雨改二
296,12.7cm連装砲B型改四(戦時改修)＋高射装置,0,2,1,,1,,,,144,夕立改二
296,12.7cm連装砲B型改四(戦時改修)＋高射装置,0,1,,,2,,,,242:587:469,白露改/海風改二/江風改二
296,12.7cm連装砲B型改四(戦時改修)＋高射装置,0,1,,,1,,,DD-07:DD-08,,白露型/改白露型
295,12.7cm連装砲A型改三(戦時改修)＋高射装置,0,2,,2,,,,DD-03:DD-04:DD-05,,吹雪型/綾波型/暁型
229,12.7cm単装高角砲(後期型),0,1,,1,,,,,622:623:624,夕張改二/丁/特
229,12.7cm単装高角砲(後期型),7,1,,1,,,,DD-01:DD-02,,神風型/睦月型
229,12.7cm単装高角砲(後期型),7,1,,1,,,DE,,,海防艦
229,12.7cm単装高角砲(後期型),7,2,,,,,,,56:113,鬼怒、那珂
229,12.7cm単装高角砲(後期型),7,2,,1,,,,,23:224:289,由良、鬼怒改、那珂改
229,12.7cm単装高角砲(後期型),7,2,,2,,,,,160:220:487,由良改、鬼怒改二、那珂改二
229,12.7cm単装高角砲(後期型),7,2,,3,,,,,488,由良改二
308,5inch単装砲 Mk.30改＋GFCS Mk.37,0,2,,1,1,,,DD-16:DD-17:DD-18,,米駆逐艦
308,5inch単装砲 Mk.30改＋GFCS Mk.37,0,2,,1,1,,,,597:696,アトランタ
308,5inch単装砲 Mk.30改＋GFCS Mk.37,0,2,,1,1,,DD,,,駆逐艦艦
308,5inch単装砲 Mk.30改＋GFCS Mk.37,0,2,,1,1,,DE,,,海防艦
313,5inch単装砲 Mk.30 改,0,2,,2,1,,,DD-16:DD-17:DD-18,,米駆逐艦
366,12.7cm連装砲D型改三,0,4,,5,1,,,,569,沖波改二
366,12.7cm連装砲D型改三,0,3,,3,1,,,,542:543:563:564:578,夕雲型改二
366,12.7cm連装砲D型改三,0,2,,,1,,,DD-11,,夕雲型
366,12.7cm連装砲D型改三,0,2,,3,1,,,,229,島風改
366,12.7cm連装砲D型改三,0,2,,,1,,,,50,島風
366,12.7cm連装砲D型改三,0,2,,2,1,,,,566:567:568,陽炎型改二
366,12.7cm連装砲D型改三,0,1,,,1,,,DD-10,,陽炎型
267,12.7cm連装砲D型改二,0,3,,,1,,,,542:543:563:564:569:578,夕雲型改二
267,12.7cm連装砲D型改二,0,2,,,1,,,DD-11:DD-13,,夕雲型/島風型
267,12.7cm連装砲D型改二,0,2,,,1,,,,566:567:568,陽炎型改二
267,12.7cm連装砲D型改二,0,1,,,1,,,DD-10,,陽炎型
266,12.7cm連装砲C型改二,0,1,,,1,,,,145,時雨改二
266,12.7cm連装砲C型改二,0,1,,,,,,DD-07:DD-08:DD-09,,白露型/改白露型/朝潮型
266,12.7cm連装砲C型改二,0,2,,,,,,,566:567:568,陽炎型改二
266,12.7cm連装砲C型改二,0,1,,,1,,,,228:557,雪風改/磯風乙改
266,12.7cm連装砲C型改二,0,1,,,,,,DD-10,,陽炎型
63,12.7cm連装砲B型改二,0,1,,1,,,,,627,敷波改二
63,12.7cm連装砲B型改二,0,,,1,,,,DD-03:DD-04:DD-05,,吹雪型/綾波型/暁型
63,12.7cm連装砲B型改二,0,,,,1,,,,242:497:498,白露改/白露改二/村雨改二
63,12.7cm連装砲B型改二,0,1,,,,,,,145,時雨改二
63,12.7cm連装砲B型改二,0,1,1,1,2,,,,144,夕立改二
63,12.7cm連装砲B型改二,0,1,,1,2,,,,245,夕立改
63,12.7cm連装砲B型改二,0,,,,2,,,,469,江風改二
294,12.7cm連装砲A型改二,0,1,,,,,,DD-03:DD-04:DD-05,,吹雪型/綾波型/暁型
297,12.7cm連装砲A型,0,,,,2,,,DD-03,,吹雪型
297,12.7cm連装砲A型,0,,,,1,,,DD-04:DD-05,,綾波型/暁型
293,12cm単装砲改二,0,2,,1,3,,,DD-01:DD-02,,神風型/睦月型
293,12cm単装砲改二,0,1,,1,2,,,DE-01:DE-02,,占守型/択捉型
282,130mm B-13連装砲,0,2,,,,,,,115:147:293:395:516:622:623:624,タシュケント/ベールヌイ/夕張
50,20.3cm(3号)連装砲,0,2,,,1,,,,,※重巡実装時追加※
90,20.3cm(2号)連装砲,0,3,,1,1,,,,,※重巡実装時追加※
310,14cm連装砲改,8,5,1,1,2,1,,,622:623:624,夕張改二/丁/特
310,14cm連装砲改,0,4,,1,2,1,,,622:623:624,夕張改二/丁/特
310,14cm連装砲改,0,2,,1,1,,,,115,夕張
310,14cm連装砲改,0,2,,,1,,,CL-14,,練習巡洋艦
357,8inch三連装砲 Mk.9 mod.2,0,2,,,,,,,Houston、最上型に装備ボーナス,※重巡実装時追加※
356,8inch三連装砲 Mk.9,0,2,,,,,,,Houston、最上型に装備ボーナス,※重巡実装時追加※
363,GFCS Mk.37＋5inch連装両用砲(集中配備),0,1,,3,2,,,,597:696,アトランタ
363,GFCS Mk.37＋5inch連装両用砲(集中配備),0,,,-1,-2,,,CL-06:CL-07:CL-08:CL-09:CL-10,,大淀型/阿賀野型/デロイテル型
363,GFCS Mk.37＋5inch連装両用砲(集中配備),0,-2,,-1,-4,,,CL-09:CL-14,,ゴトランド/練習巡洋艦
363,GFCS Mk.37＋5inch連装両用砲(集中配備),0,-3,,-2,-6,,,CL-02:CL-03:CL-04:CL-05:CL-06:CL-07:CL-08:CL-09:CL-10:CL-11:CL-12:CL-13,,日本軽巡全般
363,GFCS Mk.37＋5inch連装両用砲(集中配備),0,-3,,-3,-8,,,CL-01:CL-04,,天龍型/夕張型
362,5inch連装両用砲(集中配備),0,1,,3,2,,,,597:696,アトランタ
362,5inch連装両用砲(集中配備),0,,,-1,-2,,,CL-06:CL-07:CL-08:CL-09:CL-10,,大淀型/阿賀野型/デロイテル型
362,5inch連装両用砲(集中配備),0,-2,,-1,-4,,,CL-09:CL-14,,ゴトランド/練習巡洋艦
362,5inch連装両用砲(集中配備),0,-3,,-2,-6,,,CL-02:CL-03:CL-04:CL-05:CL-06:CL-07:CL-08:CL-09:CL-10:CL-11:CL-12:CL-13,,日本軽巡全般
362,5inch連装両用砲(集中配備),0,-3,,-3,-8,,,CL-01:CL-04,,天龍型/夕張型
341,152mm/55 三連装速射砲改,0,2,,1,1,,,CL-08,,Abruzzi級
341,152mm/55 三連装速射砲改,0,1,,1,1,,,CL-09,,ゴトランド級
340,152mm/55 三連装速射砲,0,1,,1,1,,,CL-08,,Abruzzi級
361,Bofors 15cm連装速射砲 Mk.9改＋単装速射砲 Mk.10改 Model 1938,0,2,,2,1,,,,"	De Ruyter、Gotland、阿賀野型に装備ボーナス",
361,Bofors 15cm連装速射砲 Mk.9改＋単装速射砲 Mk.10改 Model 1938,0,2,,1,1,,,,"	De Ruyter、Gotland、阿賀野型に装備ボーナス",
361,Bofors 15cm連装速射砲 Mk.9改＋単装速射砲 Mk.10改 Model 1938,0,1,,1,,,,,"	De Ruyter、Gotland、阿賀野型に装備ボーナス",
360,Bofors 15cm連装速射砲 Mk.9 Model 1938,0,2,,2,1,,,,"	De Ruyter、Gotland、阿賀野型に装備ボーナス",
303,Bofors15.2cm連装砲 Model1930,0,1,,2,1,,,,球磨型・長良型・川内型・阿賀野型・Gotlandに装備ボーナス。,
359,6inch 連装速射砲 Mk.XXI,0,2,,2,1,,,,"	Perth、夕張に装備ボーナス。",
290,41cm三連装砲改二,0,3,2,1,,,,,航空戦艦に装備ボーナス。対空電探混載でボーナス(対空+2、回避+3),※戦艦実装時追加
318,41cm連装砲改二,0,3,2,2,,,,,長門型改二、伊勢型航戦、扶桑型改二に装備ボーナス,※戦艦実装時追加
289,35.6cm三連装砲改(ダズル迷彩仕様),0,2,2,2,,,,,金剛型改二に装備ボーナス。金剛改二、榛名改二のみ水上電探混載で火力ボーナス(+2),※戦艦実装時追加
329,35.6cm連装砲改二,0,4,1,1,,,,,金剛型、伊勢型、扶桑型に装備ボーナス,※戦艦実装時追加
328,35.6cm連装砲改,0,3,,1,,,,,金剛型、伊勢型、扶桑型に装備ボーナス,※戦艦実装時追加
104,35.6cm連装砲(ダズル迷彩),0,2,1,2,,,,,金剛型改二に装備ボーナス,※戦艦実装時追加
381,16inch三連装砲 Mk.6,0,1,,,,,,,Iowa、Coloradoに装備ボーナス,※戦艦実装時追加
332,16inch Mk.VIII連装砲改,0,2,1,,,,,,長門型、Colorado、Nelsonに装備ボーナス,※戦艦実装時追加
331,16inch Mk.V連装砲,0,2,,1,,,,,長門型、Colorado、Nelsonに装備ボーナス,※戦艦実装時追加
330,16inch Mk.I連装砲,0,2,,,,,,,長門型、Colorado、Nelsonに装備ボーナス,※戦艦実装時追加
300,16inch Mk.I三連装砲改＋FCR type284,0,2,,-3,1,,,,Nelson、Warspite、金剛型改二に装備ボーナス,※戦艦実装時追加
299,16inch Mk.I三連装砲＋AFCT改,0,2,,-3,1,,,,Nelson、Warspite、金剛型改二に装備ボーナス,※戦艦実装時追加
298,16inch Mk.I三連装砲,0,2,,-3,1,,,,Nelson、Warspite、金剛型改二に装備ボーナス,※戦艦実装時追加
171,OS2U,0,1,,,1,,,,米艦に装備ボーナス,
304,S9 Osprey,0,1,2,,2,,,,Gotland、球磨型、長良型、川内型、阿賀野型に装備ボーナス,
370,Swordfish Mk.II改(水偵型),0,6,3,2,3,,,,"Gotland, Commandant Teste, 瑞穂, 神威, Warspite, Nelsonに装備ボーナス",
371,Fairey Seafox改,0,6,2,6,3,,,,"Gotland, Commandant Teste, 瑞穂, 神威, Warspite, Nelson, Richelieuに装備ボーナス",
